node_id,product_id,available_qty,reserved_qty,in_transit_qty,safety_stock,last_updated,version
N01,P01,250,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N01,P02,250,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N01,P03,250,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N01,P04,250,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N01,P05,250,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N01,P06,250,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N02,P01,0,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N02,P02,0,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N02,P03,0,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N02,P04,0,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N02,P05,0,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N02,P06,0,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N03,P01,250,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N03,P02,250,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N03,P03,250,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N03,P04,250,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N03,P05,250,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N03,P06,250,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N04,P01,0,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N04,P02,0,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N04,P03,0,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N04,P04,0,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N04,P05,0,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N04,P06,0,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N05,P01,250,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N05,P02,250,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N05,P03,250,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N05,P04,250,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N05,P05,250,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N05,P06,250,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N06,P01,0,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N06,P02,0,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N06,P03,0,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N06,P04,0,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N06,P05,0,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
N06,P06,0,0,0,20,Sat Sep 19 2026 00:00:00 GMT+0530 (India Standard Time),1
